== Phase 1 ==
MEM: abs=16642998272 bytes
== Phase 2 ==
CPU: threads=12 util=0.66 duration=416s
[metrics] name=MD elapsed_s=171.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=172.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=173.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=174.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=175.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=176.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=177.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=178.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=179.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=180.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=181.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=182.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=183.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=184.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=185.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=186.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=187.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=188.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=189.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=190.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=191.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=192.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=193.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=194.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=195.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=196.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=197.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=198.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=199.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=200.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=201.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=202.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=203.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=204.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=205.0 alloc_bytes=16642998272 VmRSS_kib=16255744
[metrics] name=MD elapsed_s=206.0 alloc_bytes=16642998272 VmRSS_kib=16255744
